stimulus,response,rt
fixation,99,0.8
21,99,2
fixation,99,0.8
22,99,2
fixation,99,1
17,99,2
fixation,99,1.1
37,99,2
fixation,99,1.2
12,99,2
fixation,99,1
7,99,2
fixation,99,1.3
13,99,2
fixation,99,1.3
23,99,2
fixation,99,1.4
33,99,2
fixation,99,1.1
31,99,2
fixation,99,1
18,99,2
fixation,99,0.8
10,99,2
fixation,99,1.2
29,99,2
fixation,99,1.3
43,99,2
fixation,99,1
4,99,2
fixation,99,0.8
19,99,2
fixation,99,0.9
34,99,2
fixation,99,0.9
6,99,2
fixation,99,0.9
49,99,2
fixation,99,1.1
9,99,2
fixation,99,1.1
11,99,2
fixation,99,1.1
41,99,2
fixation,99,1.4
42,99,2
fixation,99,1.1
27,99,2
fixation,99,1.4
40,99,2
fixation,99,1.2
3,99,2
fixation,99,1.4
2,99,2
fixation,99,0.9
44,99,2
fixation,99,1.2
45,99,2
fixation,99,1
28,99,2
fixation,99,1.2
16,99,2
fixation,99,1.2
35,99,2
fixation,99,0.8
48,99,2
fixation,99,0.9
26,99,2
fixation,99,0.9
24,99,2
fixation,99,1.2
32,99,2
fixation,99,1.3
25,99,2
fixation,99,1
30,99,2
fixation,99,1.3
39,99,2
fixation,99,1.2
36,99,2
fixation,99,0.8
8,99,2
fixation,99,1.2
47,99,2
fixation,99,1
46,99,2
fixation,99,1.4
20,99,2
fixation,99,0.8
5,99,2
fixation,99,1.1
0,99,2
fixation,99,1
38,99,2
fixation,99,1.1
14,99,2
fixation,99,1.3
1,99,2
fixation,99,1
15,99,2
