stimulus,response,rt
fixation,99,1.3
41,99,2
fixation,99,1.1
38,99,2
fixation,99,0.8
25,99,2
fixation,99,0.9
33,1,0.298941300017759
fixation,99,1.3
15,99,2
fixation,99,1.1
21,99,2
fixation,99,0.9
13,99,2
fixation,99,1
8,99,2
fixation,99,1.2
32,99,2
fixation,99,0.9
14,99,2
fixation,99,1.3
16,99,2
fixation,99,0.9
11,99,2
fixation,99,1.4
46,99,2
fixation,99,0.9
26,99,2
fixation,99,1.3
29,99,2
fixation,99,0.9
39,99,2
fixation,99,1
34,99,2
fixation,99,0.8
9,99,2
fixation,99,1.2
18,99,2
fixation,99,1.2
35,99,2
fixation,99,1.1
2,99,2
fixation,99,1
27,99,2
fixation,99,1.2
36,99,2
fixation,99,1.2
20,99,2
fixation,99,1.2
17,99,2
fixation,99,1.2
24,99,2
fixation,99,1.4
47,99,2
fixation,99,0.9
10,99,2
fixation,99,1.2
44,99,2
fixation,99,0.9
37,99,2
fixation,99,0.8
1,99,2
fixation,99,1.2
49,99,2
fixation,99,1.1
5,99,2
fixation,99,1.1
45,99,2
fixation,99,1.2
7,99,2
fixation,99,1.3
28,99,2
fixation,99,1
30,99,2
fixation,99,1.2
6,99,2
fixation,99,1
31,99,2
fixation,99,1.3
43,99,2
fixation,99,1.3
40,99,2
fixation,99,0.9
0,99,2
fixation,99,1.2
12,99,2
fixation,99,1.2
4,99,2
fixation,99,1.1
22,99,2
fixation,99,1.4
19,99,2
fixation,99,0.9
42,99,2
fixation,99,1
3,99,2
fixation,99,0.8
48,99,2
fixation,99,1.4
23,1,0.236160400003428
