stimulus,response,rt
fixation,99,0.8
20,99,2
fixation,99,1.4
49,99,2
fixation,99,0.9
43,99,2
fixation,99,0.8
16,99,2
fixation,99,1.1
9,99,2
fixation,99,1.4
24,99,2
fixation,99,1.2
18,99,2
fixation,99,0.9
45,99,2
fixation,99,1
33,99,2
fixation,99,1.1
37,99,2
fixation,99,1.4
32,99,2
fixation,99,0.9
12,99,2
fixation,99,1.3
2,99,2
fixation,99,1.2
30,99,2
fixation,99,1
46,99,2
fixation,99,0.9
10,99,2
fixation,99,1
44,99,2
fixation,99,1.1
47,99,2
fixation,99,0.8
26,99,2
fixation,99,1.2
4,99,2
fixation,99,0.9
31,99,2
fixation,99,1
0,99,2
fixation,99,1.2
40,99,2
fixation,99,0.9
25,99,2
fixation,99,1
42,99,2
fixation,99,1.2
48,99,2
fixation,99,0.9
28,99,2
fixation,99,1.3
17,99,2
fixation,99,1.4
8,99,2
fixation,99,1.3
41,99,2
fixation,99,1
1,99,2
fixation,99,1.2
14,99,2
fixation,99,0.8
36,99,2
fixation,99,1.4
35,99,2
fixation,99,1.4
3,99,2
fixation,99,1.3
39,99,2
fixation,99,0.9
5,99,2
fixation,99,1.2
6,99,2
fixation,99,0.8
7,99,2
fixation,99,1
21,99,2
fixation,99,1
27,99,2
fixation,99,0.9
22,99,2
fixation,99,0.9
13,99,2
fixation,99,1
38,99,2
fixation,99,0.8
23,99,2
fixation,99,1.2
34,99,2
fixation,99,1.1
29,99,2
fixation,99,1.2
11,99,2
fixation,99,1.2
19,99,2
fixation,99,1.2
15,99,2
